Designator,Mid X,Mid Y,Rotation,Layer
BZ1,152.745848,-102.121511,0.0,top
C1,111.0208,-112.7755,270.0,top
C2,162.201848,-113.343511,270.0,top
D1,108.734848,-63.666511,270.0,top
D2,134.520848,-52.617511,180.0,top
D3,138.828848,-52.744511,0.0,top
J1,112.2235,-78.3843,90.0,top
J2,112.2235,-60.6043,90.0,top
J3,129.8018,-87.4155,90.0,top
J4,103.612848,-74.953511,90.0,top
J5,111.640848,-74.461511,90.0,top
J6,112.417848,-105.647511,90.0,top
J7,158.581848,-87.167511,90.0,top
R1,103.527848,-97.194511,270.0,top
R2,121.434848,-96.813511,270.0,top
R3,165.630848,-98.718511,270.0,top
R4,116.862848,-56.554511,0.0,top
R5,156.359848,-56.681511,180.0,top
R6,112.036848,-93.257511,0.0,top
R7,160.423848,-93.384511,180.0,top
SW1,114.6288,-113.3595,0.0,top
SW2,151.8398,-112.8515,0.0,top
SW3,167.027848,-68.723511,270.0,top
