Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C2",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,0.1uF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N5712,
"D2, D3",LED_D3.0mm,2,LED,
"J1, J2",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20_Socket,
J3,PinSocket_1x06_P2.54mm_Horizontal,1,Conn_01x06_Socket,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Socket,
J5,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02,
J6,TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal,1,Screw_Terminal_01x03,
J7,SM04BSRSSTB,1,SM04B-SRSS-TB,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4K7,
"R2, R3, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,1K,
"R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,330,
"SW1, SW2",SW_TH_Tactile_Omron_B3F-10xx,2,SW_MEC_5E,
SW3,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,SW_DIP_x01,
